id,full_name,gender,room,years_of_experience,title,salary_coefficient,specialty
BS0001,Trần Ngọc Linh,Nữ,103,12,Bác sĩ,3.66,KH-SN
BS0002,Trần Thành Phúc,Nam,401,38,Bác sĩ chính,6.78,KH-NHI
BS0003,Đỗ Gia My,Nữ,406,25,Bác sĩ chính,6.78,KH-NHI
BS0004,Võ Văn Trang,Nữ,507,2,Bác sĩ,2.34,KH-NI
BS0005,Hoàng Hữu Tuấn,Nam,203,17,Bác sĩ,3.99,KH-NHI
BS0006,Vũ Thảo Linh,Nữ,203,9,Bác sĩ,3.33,KH-SN
BS0007,Lý Thành Ngân,Nữ,301,26,Bác sĩ cao cấp,8.0,KH-NHI
BS0008,Bùi Thị Loan,Nữ,404,21,Bác sĩ chính,6.78,KH-NG
BS0009,Ngô Minh Hùng,Nam,201,19,Bác sĩ,4.32,KH-NG
BS0010,Phạm Gia Hùng,Nam,403,6,Bác sĩ,3.0,KH-NG
BS0011,Bùi Anh Hoa,Nữ,501,24,Bác sĩ chính,6.78,KH-SN
BS0012,Võ Đức Thảo,Nữ,509,39,Bác sĩ cao cấp,8.0,KH-NG
BS0013,Lê Ngọc Linh,Nữ,104,39,Bác sĩ chính,6.78,KH-NHI
BS0014,Ngô Minh Sơn,Nam,308,27,Bác sĩ cao cấp,8.0,KH-NG
BS0015,Vũ Thảo Long,Nam,503,10,Bác sĩ,3.33,KH-SN
BS0016,Vũ Quang Hải,Nam,507,28,Bác sĩ chính,6.78,KH-NHI
BS0017,Hồ Hữu Trang,Nữ,203,5,Bác sĩ,2.67,KH-NHI
BS0018,Đỗ Lan Nam,Nam,402,9,Bác sĩ,3.33,KH-NI
BS0019,Trần Anh Ngọc,Nữ,302,17,Bác sĩ chính,6.1,KH-NI
BS0020,Hoàng Gia Ngân,Nữ,107,15,Bác sĩ chính,6.1,KH-SN
BS0021,Võ Thảo Ngọc,Nữ,510,25,Bác sĩ chính,6.78,KH-MAT
BS0022,Hoàng Đức Ngân,Nữ,406,14,Bác sĩ,3.66,KH-NG
BS0023,Đỗ Khánh Linh,Nữ,507,11,Bác sĩ,3.33,KH-SN
BS0024,Đỗ Quang Hải,Nam,401,2,Bác sĩ,2.34,KH-NHI
BS0025,Lê Đức Dũng,Nam,203,10,Bác sĩ,3.33,KH-NI
BS0026,Ngô Thảo Phúc,Nam,309,37,Bác sĩ cao cấp,8.0,KH-NI
BS0027,Ngô Khánh Linh,Nữ,101,6,Bác sĩ,3.0,KH-NHI
BS0028,Trần Quang Hùng,Nam,107,36,Bác sĩ cao cấp,8.0,KH-NHI
BS0029,Đỗ Anh Đức,Nam,403,39,Bác sĩ cao cấp,8.0,KH-SN
BS0030,Nguyễn Minh Hải,Nam,108,12,Bác sĩ chính,5.76,KH-NI
